epoch,train_loss,train_dsc,val_loss,val_dsc,val_iou
1,0.7014823380638572,0.37724289146107065,1.1923797455700962,0.3630159671101016,0.2248499382627366
2,0.561463846879847,0.567523102867502,0.5857346491380171,0.5352721755974661,0.3723736261894834
3,0.5105071622951358,0.6802761258077831,0.5019074949351224,0.6801195722422133,0.5224311389670716
4,0.48125964520024317,0.755190147000877,0.4592029560695995,0.7855486983177106,0.6494765970115952
5,0.4616120083659303,0.7879863675144023,0.4317552934993397,0.83727359364978,0.7219287053895088
6,0.4481908001151739,0.8195169138467214,0.4213468513705514,0.8475882677369494,0.7366901330271035
7,0.4356982322300182,0.8348571149097272,0.4112654355439273,0.8623166697655712,0.7594206558652754
8,0.4223097854969548,0.8562113215404493,0.3965239931236614,0.8903529484430898,0.8028754296403402
9,0.4091099670120314,0.8673456915657806,0.3846872774037448,0.8904220389954248,0.8032450064665408
10,0.4016376593533684,0.8619557659147459,0.3667704463005066,0.9032590718518047,0.8241073464555607
11,0.3882310448908338,0.8788489222166693,0.35729553482749243,0.9044245546574678,0.8259924008180899
12,0.37406665086746216,0.8835063843533052,0.3449593782424927,0.9031408506975512,0.8238446500759679
13,0.3596688321992463,0.891066010759051,0.3313135396350514,0.9130698689754269,0.8403215066258565
14,0.35081834945024226,0.8866150218111649,0.319809379902753,0.9188133723507583,0.8500564838409926
15,0.33633970454627393,0.899608831465778,0.3086595264348117,0.9157148511636553,0.8448289588832588
16,0.32522594987177383,0.9048125229812602,0.2961958890611475,0.9157753581471496,0.8449294728888238
17,0.31557996132794547,0.9123680997972432,0.29176952080293134,0.9188696029397107,0.8502036254754021
18,0.3058024142302719,0.9096025376287468,0.2798300168730996,0.9208890234960017,0.8536284598317284
19,0.29673056158364985,0.9127612582787354,0.2708384638482874,0.9195980562823469,0.851357628960099
20,0.29004253710017486,0.9064222260159536,0.2706959437240254,0.9204494699526694,0.8528814325916728
21,0.2839718776590684,0.9173213450944885,0.26881908015771344,0.9109258488742372,0.8369424037354519
22,0.2732230570970797,0.9144200917952611,0.24806906960227273,0.9254961135271405,0.8615195733645721
23,0.2662736364439422,0.9222753201441706,0.24485658244653183,0.9263094648065436,0.8628637424355076
24,0.2587977793871188,0.9203931309721664,0.2433972954750061,0.9232269967294254,0.8577240561032344
25,0.25149864367410246,0.9234509975609814,0.23391394181685013,0.9268127265373505,0.8639116964346798
26,0.24558117342930214,0.9229616484784898,0.22426988184452057,0.9274236647921194,0.8650471932926375
27,0.23981918891270956,0.9228640053569239,0.2215501286766746,0.9262276934383329,0.8627966974275069
28,0.23496154622704374,0.9204881790700471,0.21531514552506534,0.9265543649698841,0.8636168940831379
29,0.2254921110237346,0.9286999163348764,0.2069160152565349,0.9281232391877233,0.8661584561502437
30,0.21968366994577296,0.928137200283732,0.21172206103801727,0.9235618838875591,0.8582370910328866
31,0.21303612753456713,0.9334918368420682,0.20058153705163437,0.928125578630435,0.8662412818319599
32,0.20760875735797135,0.9305784218319728,0.1956616382707249,0.927823436347071,0.8657598501715097
33,0.20279685773101508,0.9330985056359816,0.1936816410584883,0.9276981196430948,0.8654295641081853
34,0.1951395401767656,0.9361558646592146,0.19061299210244959,0.9273028238644979,0.864900604052395
35,0.19046070470529444,0.936766987387361,0.1781688169999556,0.9294533205034803,0.8685192688016649
36,0.18676126061701306,0.9362889959117755,0.18237482011318207,0.9258086296332465,0.8622480236344233
37,0.17942413337090435,0.9380908472055487,0.17839753356846896,0.9240285184587023,0.8591965468682122
38,0.17722159770189547,0.9371076742178986,0.16918586059050125,0.9291957175459228,0.8680540680558799
39,0.17281816695250718,0.9386894201225141,0.16712827574123035,0.9287536142416347,0.8672122132852724
40,0.1694344174043805,0.9355680744138416,0.16248070651834662,0.9291172942090008,0.8678561227664846
41,0.1640673531036751,0.9372137939512776,0.1620509163899855,0.9277617655474368,0.8655671401872536
42,0.16370122865134595,0.9318010905104827,0.1764561344276775,0.9046165857754486,0.8262963330839864
43,0.16490478375378778,0.9286356677304889,0.1508594493974339,0.927855854363341,0.8656331523921916
44,0.154911585298239,0.9358817472032525,0.15322499925440008,0.9253863587287436,0.861352571978744
45,0.15065346103088528,0.9360183085371168,0.1428620923649181,0.9295597724066756,0.8686843290077195
46,0.14485984660831153,0.9387860990080532,0.14271651614796033,0.9307793372790549,0.8709532581219097
47,0.1421360296069407,0.9391834882441124,0.14124930988658557,0.9293007489296308,0.8682296000832918
48,0.13820823676445904,0.9393703102164592,0.1354506638917056,0.928278977919695,0.8662859487454541
49,0.13484574007053002,0.9396736332490846,0.13444862853397022,0.9304302884503916,0.8701486927076382
50,0.13006643278926028,0.9415276543748905,0.1354149810292504,0.9285187553010132,0.8669049808389072
51,0.12592973954537334,0.944156190471854,0.13965253396467728,0.9267504002917246,0.8639620742936885
52,0.12699409530443304,0.9405769119679271,0.13443454422734,0.9257251316809971,0.8621073717694199
53,0.1194367975580926,0.9435810065713034,0.12604456394910812,0.9267133899893832,0.863910276923189
54,0.12344667330092075,0.9394248817688048,0.12216756560585716,0.9277475109733134,0.8656512080838418
55,0.11577611065962735,0.9449504024631854,0.1191007684577595,0.9310179804793891,0.8713245388248229
56,0.11477441793563319,0.9452555703059059,0.11917071044445038,0.9321837322094154,0.8733327069404471
57,0.11337137529078652,0.9432160725082651,0.11688617684624412,0.9301079884527337,0.8697125691048143
58,0.10816980460110832,0.9451388730327844,0.11625766347755086,0.9311200206649596,0.8713960600280838
59,0.10886171752331304,0.9443144423540577,0.11493902043862776,0.9303262740640181,0.8700374897105003
60,0.10699301534423641,0.9456056227939539,0.1094948026266965,0.9328707026246158,0.8745788080434942
61,0.10128107564706429,0.9476239079338533,0.1115989935669032,0.9316498307958728,0.8723745456926302
62,0.09962712213689205,0.9473757319317588,0.11014771122824062,0.9312335782916122,0.8716420426649102
63,0.09806343737770529,0.9479321416549454,0.10854663496667688,0.9336971990264336,0.8759935914833922
64,0.09495149465168223,0.9494786874725837,0.10647111453793266,0.9316767150009599,0.8722935258840259
65,0.09449533884431802,0.9487869321574677,0.10495836220004341,0.9327129901791706,0.8741816221118538
66,0.09502055393714531,0.9466706974687223,0.10378401929681952,0.9295745140837691,0.8686953751132549
67,0.09284586444789288,0.9484072249902689,0.10031309452923862,0.933141149022542,0.8749942764647873
68,0.09067042303435943,0.9501580635801807,0.10211535475470802,0.9323216828749227,0.8734634921882841
69,0.0904368318471254,0.9501040089735292,0.10141884061423215,0.9321745724189313,0.8732142773619826
70,0.0865462267515706,0.9509828269145894,0.10054742409424348,0.9312771990388065,0.8718308075667994
71,0.08759246240643893,0.9485464518305586,0.09984787756746466,0.9329223348544187,0.874623363120796
72,0.08456952051789153,0.9486962959577695,0.09847019070928748,0.9324251954873696,0.8738926406370524
73,0.08410923475143957,0.9491280082645643,0.09903087737885388,0.9306213020308955,0.870792740779018
74,0.08259727016967885,0.9511975195357625,0.09503031183372844,0.9351405301225889,0.8785589304071254
75,0.08255581645404592,0.9491083981843459,0.0948761064897884,0.9330072015703851,0.8748546756135948
76,0.07932251399638605,0.9508867574609283,0.09289402040568265,0.9338518090129305,0.8763051345108493
77,0.07751060525576274,0.9537555512344792,0.09474532780322162,0.9338244303483808,0.8762214776751052
78,0.07551539353295869,0.9532506800162196,0.09308887611735951,0.9322484609070703,0.8734335473215772
79,0.07703939401635937,0.9514744932903071,0.09863172606988387,0.928059040383798,0.8661699414911058
80,0.07412729529189128,0.9527976089250177,0.09457049857486378,0.9306692672276555,0.8708483257596978
81,0.07347179043526743,0.953995948195541,0.09151720797473734,0.9332711183297762,0.8753485145527762
82,0.07029836288854188,0.9548306679329437,0.0915272676131942,0.9310085242295186,0.8713538991932496
83,0.0710363776660433,0.9532519502411444,0.09034166959199039,0.9323333493545101,0.8736543812371637
84,0.07024130575797137,0.9535478195321763,0.09158580140634016,0.9306590177074159,0.8707017286934701
85,0.07000880206332487,0.9537916818056545,0.09306337142532523,0.927996031353434,0.8661043711625482
86,0.07144813882369622,0.9511633830547833,0.09083780104463751,0.9325173490398929,0.8738413938551872
87,0.07115659672839969,0.950976141208959,0.08734774928201329,0.9325411282473819,0.8738796548296685
88,0.06459735903669805,0.9543106731004224,0.08638747442852367,0.9330445047660987,0.8749196593607806
89,0.06545784105272855,0.9536390084926458,0.08934007720513777,0.9291913718807987,0.8682292215424323
90,0.06560680445502787,0.9534868016658755,0.09124396334994923,0.9279780822002138,0.8661370590663086
91,0.06567718760640014,0.9535298511020306,0.09256362102248451,0.9267713400603224,0.8639390993740691
92,0.0625306979260024,0.9543905734119567,0.08906419168819081,0.9295055103417237,0.8686087671111568
93,0.060315229290840676,0.9565430192590096,0.08646512234752829,0.9302525242252792,0.8700480958637872
94,0.062439009839413216,0.9548914149600213,0.09033357419750908,0.9266010249845734,0.8636932608029863
95,0.059583189440708534,0.9559499242990714,0.09024645794521678,0.9262353173262067,0.8631371525630702
96,0.05919166449822631,0.9572897451018185,0.08795709162950516,0.9286104138222752,0.8672531151347698
97,0.059499112341333836,0.957082558132926,0.08834365823052147,0.9278716311303029,0.8659551030606489
98,0.0590273619574659,0.9568203806155805,0.08571682870388031,0.9301535067379653,0.8698197214542774
99,0.05714005188030355,0.957341793335734,0.08737802911888469,0.9290269279169526,0.8679037720209625
100,0.06079648201372109,0.9563284670941611,0.08623967929319902,0.9308116011622309,0.8710349838624784
